crossing time (s)	slope (V/s)	crossing number
1591.259209	-137.219931	1156
1592.299900	-135.375817	1157
1593.328999	-126.113841	1158
1594.314611	-127.746980	1159
1595.393297	-119.729141	1160
1596.416928	-117.859359	1161
1597.439318	-118.338069	1162
1598.442891	-112.566370	1163
1599.483524	-107.412455	1164
1600.497304	-99.667443	1165
1601.560111	-103.703895	1166
1602.528006	-97.926360	1167
1603.606741	-97.116960	1168
1604.620332	-87.652921	1169
1605.670242	-89.802561	1170
1606.726090	-81.635427	1171
1607.726373	-76.174481	1172
1608.787437	-75.489865	1173
1609.796802	-70.731858	1174
1610.864713	-68.614727	1175
1611.859705	-60.417324	1176
1612.834388	-57.951890	1177
1613.916066	-54.507586	1178
1614.944983	-52.922813	1179
1616.017853	-50.948168	1180
1616.996737	-47.707412	1181
1618.054657	-46.593535	1182
1619.056758	-43.820416	1183
1620.139382	-41.922277	1184
1621.137650	-37.670485	1185
1622.195054	-37.620605	1186
1623.205913	-35.400623	1187
1624.241197	-33.823019	1188
1625.230830	-31.230848	1189
1626.302406	-30.210025	1190
1627.340316	-27.754494	1191
1628.367783	-26.667414	1192
1629.388448	-25.944328	1193
1630.406931	-23.890153	1194
1631.455930	-22.934428	1195
1632.489990	-19.897079	1196
1633.483700	-20.526099	1197
1634.600323	-20.592429	1198
1635.553675	-18.251748	1199
1636.626490	-17.050557	1200
1637.647633	-16.500317	1201
1638.683433	-16.036693	1202
1639.726793	-14.912085	1203
1640.717663	-13.667378	1204
1641.765814	-12.021335	1205
1642.819878	-12.580907	1206
1643.819837	-9.893854	1207
1644.883874	-10.813859	1208
1645.849834	-10.278639	1209
1646.958423	-9.302609	1210
1647.933320	-6.765897	1211
1648.994673	-7.514315	1212
1650.038696	-7.226892	1213
1651.073899	-7.883751	1214
