time (s)	theta (A)	maj axis/z0	min axis/z0	crossing#mod 255
1993.157986	155.314682	1.391491	-0.007548	3
1995.226240	155.027466	1.345262	-0.007217	5
1997.292852	154.526672	1.298279	-0.006988	7
1999.359701	154.136368	1.255089	-0.006894	9
2001.425195	154.000092	1.213289	-0.006294	11
2003.486725	154.059814	1.171356	-0.005800	13
2005.546414	154.143311	1.128034	-0.006126	15
2007.606251	154.219238	1.085829	-0.006091	17
2009.665625	154.262039	1.043817	-0.006046	19
2011.726887	154.223465	1.001693	-0.006137	21
2013.789312	154.187119	0.962326	-0.006008	23
2015.852618	154.135208	0.924174	-0.005804	25
2017.915391	154.202301	0.887080	-0.005697	27
2019.981580	154.334702	0.852307	-0.005305	29
2022.047687	154.563934	0.819122	-0.005348	31
2024.111930	154.840775	0.787803	-0.005108	33
2026.176149	155.010147	0.756759	-0.005181	35
2028.236068	155.007217	0.727734	-0.005443	37
2030.291371	154.776337	0.698551	-0.005531	39
2032.345028	154.235123	0.667223	-0.005687	41
2034.398453	153.623245	0.633512	-0.005424	43
2036.456889	153.246140	0.600507	-0.004829	45
2038.523336	153.389542	0.572604	-0.003855	47
2040.595172	153.880844	0.547439	-0.003460	49
2042.666709	154.385574	0.526262	-0.003655	51
2044.735257	154.664062	0.505247	-0.003615	53
2046.801246	154.734436	0.483646	-0.003684	55
2048.861652	154.633636	0.462350	-0.003464	57
2050.923207	154.536743	0.441676	-0.003416	59
2052.985889	154.368942	0.421057	-0.003156	61
2055.047791	154.193909	0.401983	-0.003126	63
2057.110312	153.946884	0.384673	-0.003026	65
2059.174767	153.700104	0.367693	-0.002861	67
2061.233745	153.447586	0.352039	-0.002642	69
2063.291384	153.322800	0.339316	-0.002277	71
2065.341797	153.484985	0.325431	-0.002317	73
2067.382352	154.072845	0.311520	-0.002348	75
