time (s)	det(V)
1993.029235	1.670749	
1993.030839	1.670757	
1993.032340	1.670728	
1993.033943	1.670732	
1993.035440	1.670749	
1993.037016	1.670841	
1993.038545	1.670749	
1993.040091	1.670869	
1993.041624	1.670765	
1993.043141	1.670849	
1993.044721	1.670700	
1993.046240	1.670809	
1993.047801	1.670696	
1993.049322	1.670700	
1993.050928	1.670974	
1993.052425	1.670825	
1993.054005	1.670890	
1993.055523	1.670857	
1993.057115	1.670821	
1993.058622	1.670845	
1993.060190	1.670591	
1993.061727	1.670773	
1993.063273	1.670841	
1993.064840	1.670688	
1993.066335	1.670732	
1993.067951	1.670749	
1993.069445	1.670817	
1993.071048	1.670716	
1993.072532	1.670805	
1993.074114	1.670741	
1993.075621	1.670777	
1993.077206	1.670938	
1993.078742	1.670700	
1993.080275	1.670741	
1993.081843	1.670853	
1993.083366	1.670902	
1993.084936	1.670922	
1993.086436	1.670841	
1993.088048	1.670748	
1993.089533	1.670749	
1993.091117	1.670821	
1993.092611	1.670757	
1993.094219	1.670712	
1993.095711	1.670813	
1993.097287	1.670825	
1993.098810	1.670640	
1993.100381	1.670728	
1993.101916	1.670753	
1993.103432	1.670769	
1993.104989	1.670765	
1993.106523	1.670720	
1993.108098	1.670805	
1993.109593	1.670781	
1993.111181	1.670716	
1993.112709	1.670797	
1993.114321	1.670813	
1993.115816	1.670736	
1993.117389	1.670664	
1993.118915	1.670608	
1993.120494	1.670797	
1993.122031	1.670708	
1993.123549	1.670857	
1993.125128	1.670817	
1993.126645	1.670733	
1993.128229	1.670640	
1993.129728	1.670708	
1993.131321	1.670749	
1993.132841	1.670668	
1993.134441	1.670624	
1993.135938	1.670628	
1993.137517	1.670668	
1993.139040	1.670563	
1993.140625	1.670636	
1993.142161	1.670652	
1993.143689	1.670620	
1993.145261	1.670571	
1993.146776	1.670523	
1993.148350	1.666096	
1993.149857	1.424058	
1993.151480	1.100093	
1993.152971	0.921405	
1993.154549	0.599368	
1993.156072	0.324073	
1993.157664	0.077455	
1993.159164	-0.199419	
1993.160738	-0.400151	
1993.162263	-0.711519	
1993.163829	-0.926511	
1993.165373	-1.175244	
1993.166888	-1.424117	
1993.168462	-1.566833	
1993.169989	-1.581955	
1993.171576	-1.582402	
1993.173068	-1.582406	
1993.174661	-1.582507	
1993.176192	-1.582583	
1993.177798	-1.582418	
1993.179281	-1.582543	
1993.180844	-1.582418	
1993.182372	-1.582426	
1993.183941	-1.582474	
1993.185487	-1.582511	
1993.186998	-1.582398	
1993.188571	-1.582483	
1993.190092	-1.582499	
1993.191698	-1.582334	
1993.193189	-1.582656	
1993.194773	-1.582507	
1993.196303	-1.582519	
1993.197898	-1.582370	
1993.199392	-1.582535	
1993.200978	-1.582507	
1993.202506	-1.582116	
1993.204092	-1.582422	
1993.205628	-1.582547	
1993.207148	-1.582535	
1993.208727	-1.582660	
1993.210243	-1.582471	
1993.211821	-1.582466	
1993.213309	-1.582418	
1993.214914	-1.582575	
1993.216427	-1.582487	
1993.218024	-1.582567	
1993.219523	-1.582176	
1993.221094	-1.582563	
1993.222615	-1.582704	
1993.224183	-1.582644	
1993.225706	-1.582547	
1993.227236	-1.582487	
1993.228807	-1.582555	
1993.230332	-1.582491	
1993.231914	-1.582454	
1993.233400	-1.582531	
1993.235016	-1.582628	
1993.236503	-1.581862	
1993.238103	-1.582559	
1993.239617	-1.582680	
1993.241263	-1.582551	
1993.242876	-1.582587	
1993.244482	-1.582519	
1993.246156	-1.582583	
1993.247744	-1.582434	
1993.249420	-1.582470	
1993.250989	-1.582394	
1993.252671	-1.581786	
1993.254242	-1.582499	
1993.255947	-1.582539	
1993.257516	-1.582523	
1993.259210	-1.582809	
1993.260765	-1.582470	
1993.262490	-1.582700	
1993.263996	-1.582374	
1993.265740	-1.582579	
1993.267225	-1.582511	
1993.268981	-1.582434	
1993.270480	-1.582454	
1993.272266	-1.582475	
1993.273745	-1.582535	
1993.275547	-1.582438	
1993.277027	-1.582503	
1993.278799	-1.582483	
1993.280285	-1.582539	
1993.282015	-1.582462	
1993.283522	-1.582390	
1993.285271	-1.582535	
1993.286799	-1.582487	
1993.288546	-1.582394	
1993.290076	-1.582583	
1993.291782	-1.582289	
1993.293324	-1.582591	
1993.295006	-1.582374	
1993.296555	-1.582475	
1993.298227	-1.582402	
1993.299807	-1.582551	
1993.301472	-1.582426	
1993.303072	-1.582519	
1993.304730	-1.582386	
1993.306317	-1.582523	
1993.307952	-1.582333	
1993.309571	-1.582450	
1993.311177	-1.582225	
1993.312843	-1.582519	
1993.314433	-1.582249	
1993.316122	-1.582458	
1993.317706	-1.582297	
1993.319359	-1.582386	
1993.320929	-1.582475	
1993.322641	-1.582265	
1993.324198	-1.582229	
1993.325906	-1.582337	
1993.327446	-1.582100	
1993.329155	-1.582313	
1993.330691	-1.582366	
1993.332415	-1.582374	
1993.333934	-1.582317	
1993.335702	-1.582168	
1993.337181	-1.582350	
1993.338972	-1.582305	
1993.340454	-1.582321	
1993.342240	-1.582426	
1993.343720	-1.582470	
1993.345410	-1.582237	
1993.346912	-1.582450	
1993.348584	-1.582330	
1993.350111	-1.582293	
1993.351751	-1.582181	
1993.353304	-1.582337	
1993.354919	-1.582225	
1993.356503	-1.582354	
1993.358097	-1.582172	
1993.359703	-1.582168	
1993.361251	-1.582007	
1993.362883	-1.581693	
1993.364371	-1.557173	
1993.366083	-1.510211	
1993.367559	-1.486794	
1993.369289	-1.423956	
1993.370762	-1.408532	
1993.372483	-1.294437	
1993.373966	-1.267907	
1993.375674	-1.221795	
1993.377159	-1.218834	
1993.378870	-1.151646	
1993.380367	-1.159807	
1993.382064	-1.079176	
1993.383563	-1.081533	
1993.385236	-1.008938	
1993.386754	-0.978480	
1993.388398	-0.946914	
1993.389948	-0.985252	
1993.391550	-0.856019	
1993.393141	-0.897575	
1993.394714	-0.796489	
1993.396329	-0.826133	
1993.397865	-0.755702	
1993.399532	-0.767876	
1993.401010	-0.720930	
1993.402728	-0.673069	
1993.404207	-0.652166	
1993.405911	-0.621366	
1993.407391	-0.604076	
1993.409109	-0.554242	
1993.410597	-0.547913	
1993.412332	-0.516815	
1993.413823	-0.512782	
1993.415523	-0.455431	
1993.417001	-0.493201	
1993.418681	-0.409883	
1993.420181	-0.454505	
1993.421841	-0.361732	
1993.423374	-0.381145	
1993.424997	-0.320144	
1993.426575	-0.327302	
1993.428168	-0.285295	
1993.429765	-0.292385	
1993.431334	-0.254136	
1993.432954	-0.276678	
1993.434499	-0.264408	
1993.436173	-0.208358	
1993.437662	-0.204072	
1993.439367	-0.192668	
1993.440856	-0.227408	
1993.442490	-0.173731	
1993.443974	-0.184337	
1993.445623	-0.118518	
1993.447113	-0.142036	
1993.448723	-0.120094	
1993.450218	-0.152304	
1993.451800	-0.119389	
1993.453358	-0.111030	
1993.454880	-0.059020	
1993.456519	-0.071290	
1993.458013	-0.063596	
1993.459644	-0.041122	
1993.461169	-0.068237	
1993.462822	-0.045642	
1993.464302	-0.036514	
1993.465944	-0.035342	
1993.467419	-0.026419	
1993.469071	-0.030838	
1993.470551	-0.043120	
1993.472186	0.020616	
1993.473684	-0.038947	
1993.475284	0.031379	
1993.476836	0.025977	
1993.478394	0.004615	
1993.479954	-0.010833	
1993.481446	0.042828	
1993.483120	-0.001403	
1993.484612	0.037938	
1993.486239	0.023327	
1993.487771	0.060242	
1993.489398	0.001928	
1993.490881	0.038481	
1993.492511	0.024173	
1993.493992	0.014227	
1993.495640	0.059235	
1993.497140	-0.000340	
1993.498755	0.058470	
1993.500267	0.010070	
1993.501841	0.027693	
1993.503382	0.022634	
1993.504925	0.057958	
1993.506539	0.043335	
1993.508035	0.043388	
1993.509689	0.026884	
1993.511200	0.003197	
1993.512847	0.008789	
1993.514346	0.023182	
1993.515993	0.017204	
1993.517477	-0.008670	
1993.519127	0.011959	
1993.520605	-0.004150	
1993.522249	0.033011	
1993.523728	-0.006346	
1993.525230	0.032681	
1993.526791	-0.052192	
1993.528345	-0.015861	
1993.529943	-0.002003	
1993.531437	0.013208	
1993.533099	0.000377	
1993.534603	-0.013996	
1993.536217	0.026989	
1993.537733	-0.052498	
1993.539331	-0.013524	
1993.540831	0.011560	
1993.542399	0.017316	
1993.543930	-0.009101	
1993.545559	-0.005955	
1993.547036	-0.016276	
1993.548530	-0.018979	
1993.550129	-0.023897	
1993.551622	-0.019442	
1993.553220	0.015415	
1993.554723	-0.002370	
1993.556297	0.018082	
1993.557831	0.018243	
1993.559433	0.043617	
1993.560925	-0.070642	
1993.562459	-0.018866	
1993.564023	-0.004634	
1993.565555	0.002291	
1993.567114	-0.018004	
1993.568612	0.085125	
1993.570192	0.016398	
1993.571728	0.025780	
1993.573319	0.001316	
1993.574805	0.041361	
1993.576441	0.024700	
1993.577936	0.017514	
1993.579524	-0.010531	
1993.581012	0.010815	
1993.582590	0.009638	
1993.584130	-0.006817	
1993.585665	0.005042	
1993.587203	0.024684	
1993.588706	0.026594	
1993.590312	-0.022870	
1993.591805	-0.003494	
1993.593395	0.023279	
1993.594902	-0.009238	
1993.596484	0.000675	
1993.598016	-0.000891	
1993.599567	0.005602	
1993.601111	-0.009383	
1993.602655	0.020430	
1993.604186	0.003137	
1993.605728	0.019407	
1993.607246	0.019053	
1993.608791	0.042377	
1993.610370	0.018098	
1993.611866	0.039625	
1993.613469	0.053692	
1993.614960	0.005381	
1993.616529	0.023061	
1993.618060	0.046026	
1993.619609	0.076227	
1993.621148	0.010162	
1993.622691	-0.000287	
1993.624245	0.016056	
1993.625767	0.065225	
1993.627335	0.019975	
1993.628869	-0.015051	
1993.630452	-0.007611	
1993.631949	0.036938	
1993.633517	0.025780	
1993.635049	0.048540	
1993.636656	0.043005	
1993.638155	0.008237	
1993.639731	0.036938	
1993.641252	-0.002193	
1993.642793	0.015778	
1993.644330	-0.023539	
1993.645848	0.008748	
1993.647437	0.004430	
1993.648948	-0.021520	
1993.650523	-0.031801	
1993.652020	0.001227	
1993.653602	0.019899	
1993.655111	-0.021073	
1993.656741	-0.016167	
1993.658233	-0.008823	
1993.659803	0.000929	
1993.661329	-0.021102	
1993.662880	-0.016687	
1993.664428	-0.011861	
1993.665952	-0.027007	
1993.667525	-0.058915	
1993.669036	0.013469	
1993.670641	-0.018322	
1993.672136	0.004410	
1993.673721	-0.026717	
1993.675243	-0.046645	
1993.676846	-0.002511	
1993.678341	-0.055205	
1993.679912	-0.022866	
1993.681443	-0.058263	
1993.683014	-0.041332	
1993.684536	-0.063153	
1993.686060	0.012229	
1993.687659	-0.046548	
1993.689149	-0.013935	
1993.690735	-0.031688	
1993.692261	-0.031632	
1993.693865	-0.030915	
1993.695356	-0.064583	
1993.696959	-0.055874	
1993.698456	-0.038597	
1993.700032	-0.026584	
1993.701553	-0.092064	
1993.703073	-0.035906	
1993.704631	-0.049505	
1993.706161	-0.065252	
1993.707750	-0.008493	
1993.709241	-0.022564	
1993.710838	-0.086042	
1993.712354	-0.028731	
1993.713951	-0.001008	
1993.715455	-0.039555	
1993.717026	-0.024046	
1993.718544	-0.022407	
1993.720115	-0.044305	
1993.721661	-0.033017	
1993.723179	-0.042025	
1993.724748	-0.036453	
1993.726267	-0.036115	
1993.727841	-0.053413	
1993.729334	-0.056720	
1993.730949	-0.056978	
1993.732446	-0.050746	
1993.734041	-0.053477	
1993.735539	-0.001516	
1993.737131	-0.060055	
1993.738620	-0.029625	
1993.740190	-0.021734	
1993.741718	-0.069639	
1993.743289	-0.046081	
1993.744821	-0.124887	
1993.746341	-0.047439	
1993.747911	-0.033033	
1993.749435	-0.048913	
1993.751014	-0.016920	
1993.752502	-0.013424	
