crossing time (s)	slope (V/s)	crossing number
4525.191721	49.655089	6604
4526.248256	36.856507	6605
4527.270931	27.952600	6606
4528.335028	19.497555	6607
4529.357748	13.126917	6608
4530.398871	9.034165	6609
4531.361124	6.239936	6610
4532.522310	4.105485	6611
4533.431328	1.485757	6612
4534.609430	1.698372	6613
4535.559935	1.169984	6614
4536.026422	-0.133326	6615
4536.649270	0.218226	6616
4537.156397	-10.850013	6617
4537.526253	7.762600	6618
4538.879945	0.031538	6619
4539.490528	1.489624	6620
4540.182017	0.003869	6621
4541.099323	1.194706	6622
4541.476132	0.614144	6623
4541.677876	0.043960	6624
4541.930593	1.301064	6625
4542.924424	0.410914	6626
4543.139154	0.793429	6627
4543.786741	0.693309	6628
4544.106016	0.942056	6629
4544.345614	-0.454621	6630
4545.369453	0.654130	6631
4545.667831	-2.384484	6632
4545.998365	1.748681	6633
4546.271117	-0.514720	6634
4547.715384	0.644184	6635
4547.949339	1.340286	6636
4548.270649	1.633106	6637
4549.543974	-0.343706	6638
