crossing time (s)	slope (V/s)	crossing number
4770.176922	80.124245	6991
4771.160445	67.172504	6992
4772.248419	49.552514	6993
4773.326432	38.833025	6994
4774.342978	29.314909	6995
4775.434512	21.906465	6996
4776.395329	18.217222	6997
4777.511760	15.842742	6998
4778.450951	12.010017	6999
4779.549200	7.647648	7000
4780.505347	7.693071	7001
4781.640969	5.132183	7002
4782.564457	4.277575	7003
4783.579992	0.010592	7004
4784.577531	3.513093	7005
4785.857889	1.667064	7006
4786.635217	1.683974	7007
4787.911477	0.865508	7008
4788.798304	2.910586	7009
4789.892978	2.065166	7010
4790.918580	0.041371	7011
4791.421438	0.491320	7012
4792.087555	1.034206	7013
4792.746912	1.348077	7014
4794.312286	-0.512879	7015
4794.654229	-1.328593	7016
4796.270329	-0.353561	7017
