time (s)	theta (A)	maj axis/z0	min axis/z0	crossing#mod 255
6076.460417	86.343666	0.988627	-0.002930	153
6078.528764	86.120667	0.920403	-0.002681	155
6080.596523	86.025269	0.855261	-0.002543	157
6082.660347	85.759056	0.794775	-0.002239	159
6084.725574	85.516502	0.735743	-0.002703	161
6086.791566	85.295700	0.678473	-0.002116	163
6088.861462	85.292557	0.624882	-0.002112	165
6090.935200	85.436867	0.575124	-0.001665	167
6093.006196	85.681244	0.530768	-0.001576	169
6095.077704	85.836548	0.488875	-0.002355	171
6097.146607	85.772850	0.452344	-0.002162	173
6099.212360	85.675301	0.417590	-0.001824	175
6101.279240	85.743240	0.387757	-0.001846	177
6103.330223	86.090958	0.359080	-0.001578	179
6105.390038	93.002022	0.206911	-0.026197	181
6106.417885	257.550171	0.198467	-0.029971	183
6108.485930	265.079620	0.293282	-0.001713	185
6110.541242	265.414337	0.270567	-0.001460	187
6112.605717	265.671509	0.248197	-0.001251	189
6114.667764	265.926178	0.227587	-0.001480	191
6116.734709	266.424164	0.210642	-0.001338	193
6118.820541	266.856323	0.193353	-0.001155	195
6120.885082	267.092438	0.179190	-0.000978	197
6122.941014	266.684387	0.164239	-0.001625	199
6124.965430	267.843750	0.119202	-0.003170	201
6126.098267	83.918854	0.107963	-0.002097	203
6128.202958	111.993340	0.073108	-0.036524	205
