time (s)	det(V)
4605.750113	-1.509584	
4605.751592	-1.509593	
4605.753227	-1.509544	
4605.754707	-1.509536	
4605.756332	-1.509516	
4605.757857	-1.509576	
4605.759533	-1.509524	
4605.761061	-1.509621	
4605.762719	-1.509480	
4605.764264	-1.509560	
4605.765890	-1.509544	
4605.767446	-1.509685	
4605.769045	-1.509528	
4605.770649	-1.509544	
4605.772203	-1.509532	
4605.773830	-1.509673	
4605.775352	-1.509572	
4605.777028	-1.509641	
4605.778504	-1.509512	
4605.780234	-1.509520	
4605.781704	-1.509548	
4605.783421	-1.509516	
4605.784906	-1.509576	
4605.786592	-1.509548	
4605.788079	-1.509544	
4605.789771	-1.509584	
4605.791266	-1.509544	
4605.792943	-1.509508	
4605.794452	-1.509560	
4605.796111	-1.509548	
4605.797630	-1.509540	
4605.799268	-1.509504	
4605.800823	-1.509601	
4605.802416	-1.509540	
4605.804008	-1.509536	
4605.805561	-1.509593	
4605.807173	-1.509633	
4605.808689	-1.509540	
4605.810373	-1.509609	
4605.811851	-1.509448	
4605.813572	-1.509540	
4605.815040	-1.509512	
4605.816747	-1.509641	
4605.818229	-1.509464	
4605.819943	-1.509540	
4605.821422	-1.509596	
4605.823137	-1.509556	
4605.824633	-1.509593	
4605.826335	-1.509556	
4605.827831	-1.509524	
4605.829493	-1.509504	
4605.831014	-1.509528	
4605.832740	-1.509593	
4605.834279	-1.509524	
4605.835986	-1.509435	
4605.837538	-1.509476	
4605.839240	-1.509423	
4605.840808	-1.509572	
4605.842490	-1.509512	
4605.844061	-1.509661	
4605.845729	-1.509403	
4605.847316	-1.509564	
4605.848968	-1.509520	
4605.850560	-1.509560	
4605.852173	-1.509419	
4605.853806	-1.509536	
4605.855399	-1.509468	
4605.857044	-1.509572	
4605.858640	-1.509524	
4605.860286	-1.509536	
4605.861878	-1.509500	
4605.863571	-1.509460	
4605.865126	-1.509447	
4605.866834	-1.509609	
4605.868383	-1.509492	
4605.870101	-1.509508	
4605.871660	-1.509391	
4605.873364	-1.509460	
4605.874897	-1.509431	
4605.876630	-1.509544	
4605.878121	-1.509452	
4605.879900	-1.509520	
4605.881382	-1.509492	
4605.883159	-1.509516	
4605.884643	-1.509460	
4605.886425	-1.509403	
4605.887907	-1.509512	
4605.889672	-1.509383	
4605.891164	-1.509512	
4605.892939	-1.509149	
4605.894436	-1.509476	
4605.896183	-1.509363	
4605.897694	-1.509427	
4605.899401	-1.509246	
4605.900934	-1.509407	
4605.902618	-1.509242	
4605.904164	-1.509298	
4605.905862	-1.509194	
4605.907428	-1.509210	
4605.909106	-1.460189	
4605.910676	-1.508702	
4605.912330	-1.384904	
4605.913917	-1.471303	
