time (s)	theta (A)	maj axis/z0	min axis/z0	crossing#mod 255
6188.196394	263.429413	0.966529	0.011836	47
6190.255707	263.076111	0.897093	0.012302	49
6192.318017	263.071136	0.829273	0.012198	51
6194.380681	263.211243	0.766592	0.011582	53
6196.444845	263.402405	0.708359	0.010908	55
6198.510442	263.509918	0.653858	0.010461	57
6200.582375	263.318665	0.603102	0.009199	59
6202.653470	262.827728	0.557318	0.007748	61
6204.728430	262.354980	0.515433	0.007204	63
6206.797782	262.293427	0.479588	0.007305	65
6208.859900	262.687958	0.444499	0.006845	67
6210.920342	263.036011	0.408067	0.006033	69
6212.975795	263.218445	0.374751	0.005539	71
6215.044511	263.471588	0.342450	0.004947	73
6217.114173	263.678772	0.314991	0.005018	75
6219.184592	264.123840	0.290749	0.004678	77
6221.261929	264.470398	0.268927	0.003858	79
6223.331020	263.954681	0.249216	0.003155	81
6225.355705	263.129303	0.226439	0.002684	83
6227.402270	262.718140	0.204596	0.002636	85
6229.452036	262.902832	0.185386	0.002762	87
6231.518097	263.106903	0.168751	0.002505	89
6233.585696	263.611725	0.153804	0.002474	91
6235.663203	263.379028	0.137298	0.002080	93
6237.746823	262.067139	0.131526	0.001536	95
6239.820620	260.390991	0.123315	0.000653	97
6241.918709	260.082611	0.118463	0.001143	99
6243.965693	261.220764	0.110597	0.001105	101
6245.470870	172.793060	0.001780	0.039294	103
6247.167119	83.326637	0.092737	0.000863	105
6248.560295	352.853668	0.000948	0.049685	107
6249.507169	173.302155	0.000801	0.023806	109
